"seriesid","date"
"001cfede-0457-5814-81e1-0565198c41e6","2020-08-19"
"001ede00-e456-5b55-a722-62eda3b8a147","2020-06-16"
"001ede00-e456-5b55-a722-62eda3b8a147","2020-07-15"
"001ede00-e456-5b55-a722-62eda3b8a147","2020-08-12"
"001faf6f-19d9-509e-8677-1b1535fff279","2019-12-05"
"001faf6f-19d9-509e-8677-1b1535fff279","2020-01-07"
"001faf6f-19d9-509e-8677-1b1535fff279","2020-02-05"
"001faf6f-19d9-509e-8677-1b1535fff279","2020-03-05"
"001faf6f-19d9-509e-8677-1b1535fff279","2020-04-07"
"001faf6f-19d9-509e-8677-1b1535fff279","2020-05-06"
"001faf6f-19d9-509e-8677-1b1535fff279","2020-06-05"
"001faf6f-19d9-509e-8677-1b1535fff279","2020-07-07"
"001faf6f-19d9-509e-8677-1b1535fff279","2020-08-05"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2019-10-24"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2019-11-25"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2019-12-24"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2020-01-24"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2020-02-24"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2020-03-24"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2020-04-24"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2020-05-26"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2020-06-24"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2020-07-24"
"0021d16f-93e7-597f-91e0-12d2dbd03a11","2020-08-24"
"0022061e-ed45-5da4-8553-8b3c0386e904","2020-02-03"
"0022061e-ed45-5da4-8553-8b3c0386e904","2020-03-03"
"0022061e-ed45-5da4-8553-8b3c0386e904","2020-03-30"
"0022061e-ed45-5da4-8553-8b3c0386e904","2020-05-03"
"0022061e-ed45-5da4-8553-8b3c0386e904","2020-05-31"
"0022061e-ed45-5da4-8553-8b3c0386e904","2020-06-29"
"0022061e-ed45-5da4-8553-8b3c0386e904","2020-08-02"
"0022061e-ed45-5da4-8553-8b3c0386e904","2020-08-31"
"002395e3-2663-55b3-a7c7-e6720800c999","2019-11-01"
"002395e3-2663-55b3-a7c7-e6720800c999","2019-12-02"
"002395e3-2663-55b3-a7c7-e6720800c999","2020-01-02"
"002395e3-2663-55b3-a7c7-e6720800c999","2020-02-03"
"002395e3-2663-55b3-a7c7-e6720800c999","2020-03-02"
"002395e3-2663-55b3-a7c7-e6720800c999","2020-04-01"
"002395e3-2663-55b3-a7c7-e6720800c999","2020-05-01"
"002395e3-2663-55b3-a7c7-e6720800c999","2020-06-01"
"002395e3-2663-55b3-a7c7-e6720800c999","2020-07-01"
"002395e3-2663-55b3-a7c7-e6720800c999","2020-08-03"
"00267bae-619f-5911-b8bf-7521d06a7f69","2019-11-29"
"00267bae-619f-5911-b8bf-7521d06a7f69","2019-12-31"
"00267bae-619f-5911-b8bf-7521d06a7f69","2020-01-31"
"00267bae-619f-5911-b8bf-7521d06a7f69","2020-02-28"
"00267bae-619f-5911-b8bf-7521d06a7f69","2020-03-31"
"00267bae-619f-5911-b8bf-7521d06a7f69","2020-04-30"
"00267bae-619f-5911-b8bf-7521d06a7f69","2020-05-29"
"00267bae-619f-5911-b8bf-7521d06a7f69","2020-06-30"
"00267bae-619f-5911-b8bf-7521d06a7f69","2020-07-31"
